Submission,Table Number,Judge 1,Judge 2,Judge 3
Madhacks2,1,x,,
SnapFeels,2,x,,
Snap Moments,3,x,,
Faces for Physicians,4,x,,
MHPlayer,5,x,,
Pawsitive Tales,6,x,,
Mold Conditions Detector,7,x,,
ViSign,8,x,,
ADHD Focus Game,9,x,,
AudioVision,10,x,,
RecoverCom,11,x,,
MYOnnaise,12,x,,
VFIT,13,,x,
Alive,14,,x,
timecard,15,,x,
Super Pineapple Thing,16,,x,
Blood Donate,17,,x,
CryptoPill,18,,x,
The Lard Rover,19,,x,
A frustrating TicTacToe,20,,x,
SecureImageConverter,21,,x,
Viral Defender,22,,x,
VoiceMan,23,,x,
Crypto Hacker,24,,x,
VARTIP,25,,,x
Library Digital Assistant,26,,,x
Emosong,27,,,x
Healthy Diet,28,,,x
Spider Sniper,29,,,x
Just a second,30,,,x
Emosong,31,,,x
Musical Simon,32,,,x
Working Title,33,,,x
Medical Records Blockchain,34,,,x
HealthClassifier,35,,,x
BotDoc,36,,,x
